Event Name, Time, Description, Event URL
The Killing Joke Free Comedy Show,2017-11-11T20:15:00,"The Killing Joke is a free, monthly comedy show the second Saturday of every month. Ali Prier, Scotland Green, and Casey James Salengo bring you the funniest comedians of (and visiting) NYC! The show is held in the back room of the awesome Pine Box Rock Shop. $4 Modelo, $4 Narragansett tall boys, vegan empanadas, and great cocktails and beer on tap. Live music afterwards.Jokes by:Casey James Salengo (Comedy Central Half Hour)Alison Zeidman (New York Times, TruTV's Adam Ruins Everything)Luke Mones (Funny or Die, Howard Stern Show)Guitler Raphael (Boston Comedy Arts Festival)Jordan Jensen (Baby's Got Backyard)Donnie Sengstack (DC Improv, UCB)Hosted by Scotland Green!Saturday November 11Seats at 8pm - 8:15 start!Pine Box Rock Shop12 Grattan Street, Brooklyn, NYRight by the Morgan L stop",https://www.eventbrite.com/e/the-killing-joke-free-comedy-show-tickets-39762435515?aff=ebapi
Up/Down Here/There,2017-11-11T20:00:00,"The inaugural production of Best Intention's second season is ready for launch. ""Up/Down Here/There""examines the hopes, dreams, pasts, and futures of those who can’t stop wondering about what happens beyond Earth. Told through interweaving strands, it's a ensemble play about home, Mars, and how to tell the difference.

Written by Jonathan Young
Directed by Joseph Kevin Coles

FEATURING:
Maddie Browning
Bailey Hawthorne
Katherine Freel
Nell Kessler
Jonathan Young
Sam Richardson
Felix Birdie
Caroline Smith
Sam Krapels

FAQs
Are there ID or minimum age requirements to enter the event?
Of course not! It's just a play. That having been said, it may not be the best idea for kids; it's a little complicated, and there's a lot of stuff that happens. We're not gonna spoil it. Just do us a favor, and don't bring in a small child. There's loud noises, and small children cry. Everyone cries. Some more often than others. Help me.
What are my transportation/parking options for getting to and from the event?
As always, we're killing it. The Jay St.-Metrotech stop on the A, F, or R puts you only a few blocks away. There's also a paid parking lot across the street if you're the one person in New York City who drives. You could also just take a car of some kind. Sit back, relax, let someone else get you where you want to go. It's delightful.
What can I bring into the event?
Yourself, a coat, donations. Really anything within reason. We just ask that you don't bring any food or drink (besides bottled water) into the theater, because soda is loud and so are snacks.
How can I contact the organizer with any questions?
You can email joseph@bestintentionstheater.com with anything you need, including advice on which cardigan to buy. We here at Best Intentions Theater Company love cardigans.
Are tickets transferable?
Sure, why not. Just let us know at joseph@bestintentionstheater.com (since we're keeping a list at the door) and then forward the emailed ticket to whoever you want to have it, and we'll let them on through. If you're buying the ticket for someone else, you can just put their name on it during the purchasing process and skip all of this. Go you!
Is it ok if the name on my ticket or registration doesn't match the person who attends?
Sure! We'll just lightly interrogate you to make sure that you didn't kill someone for their ticket.
Do I have to bring my printed ticket to the event?
No! Show us on your phone. You can print if you want, but why bother? Save a tree.
Is the theater accessible?
Everyone can come to space with us. We will also ask you during the ticketing process whether you will be requiring accessible seating so that we can make sure you're taken care of.
What's the refund policy?
We don't offer refunds, and here's why: all no-show tickets will be given away at curtain to artists at the Schermerhorn and other waitlisters. We wanted to do something just in case we once again sold out of tickets before all of our patrons could source the money, since we're all artists and we're all really struggling here. That having been said, if you need to switch your ticket to a different night, please email us at joseph@bestintentionstheater.com and we will do our best to accomodate you. If you promise not to be mad if we've already sold out the other performance, then we'll try not to show how thrilled we are that we once again sold out.",https://www.eventbrite.com/e/updown-herethere-tickets-38927086965?aff=ebapi
Triskelion Arts Presents... Gushue Moving Arts,2017-11-11T20:00:00,"Triskelion Arts Presents... Gushue Moving Arts
November 9 - 11, 2017 at 8pm
Triskelion Arts' Muriel Schulman Theater
106 Calyer Street, Brooklyn, NY 11222 (enter on Banker Street)
Tickets: $18 in advance / $22 at the door
Gushue Moving Arts returns to Triskelion Arts to wrestle with how to move forward when you inevitably find yourselves, your dancers, and your audience in a miserable situation. The program will include the follow-up to Rebecca Gushue’s 2016 ""Hen Haus"", ""Stonefruit"". ""Stonefruit"" imagines the ways in which women’s behaviors and bodies become felted, and how the grooved textures of our lives get worn and worn down. The evening will also include a new duet by Charles Gushue and Robert Daniel Holmes Maynard, who have both been doing crossfit and drag (this will likely not be a factor in the evening’s performances.)
Visit www.triskelionarts.org for more info!
Image provided by the company",https://www.eventbrite.com/e/triskelion-arts-presents-gushue-moving-arts-tickets-35983346157?aff=ebapi
The Wild Party,2017-11-11T20:00:00,"You are invited to the wildest party in New York. 
Hosts Queenie and Burrs have decided to throw the party to end all parties in their Brooklyn apartment!  Anything and everything goes. You dont want to miss out! Anything can happen if you let it ... even murder. Premium tickets will receive drink tickets that will allow you to get FREE ""Giggle Water""! The bar is wet and on us. So come, enjoy your FREE drinks, and a wild, wild party! For more info, visit us at illuminationact.com",https://www.eventbrite.com/e/the-wild-party-tickets-37380353644?aff=ebapi
The Trojan Women,2017-11-11T20:00:00,"In the days following the Trojan War, how do the women find the will to survive as they await their fate at the hands of the conquering Greeks? A story of women's strength, hope, and community as their lives are uprooted.
November 1st -18th Wednesday - Saturday All shows @ 8p
Balcony Theater The Center at West Park 165 W 86th Street, NY, NY 10024Subways: 1, B, C to 86th St.

​Tickets: $20 online or at the door
Featuring: Joie Bauer*, Ashley Burroughs*, Julia Greer, Erika Grob, Marcie Henderson*, Sam Leichter*, Cerridwyn McCaffrey, Giverny Petitmermet, Portia Lee Rose, Anna Savant, Alejandra Venancio
Directed by Rachel Dart; Dramaturgy by Taylor Beidler; Stage Managed by Melissa Farinelli*; Music by Elizabeth May; Movement by Keri Setaro; Assistant Directed by Alex Guhde; Costume Design by Maggie McGrann; Lighting Design by Valerie Insardi; Sound Design by Robert A.K. Gonyo; Set/Prop Design by Dan Morrison
Each Thursday, post-show forums will be held with individuals working in/with the refugee and immigrant communities. The goal is to raise awareness about women refugees in our modern political climate at the local, national, and international level and to create an opportunity for the arts to intersect with activism.
As part of The New Collectives' 2017 season mission of giving back both artistically and financially, we will be collecting donations for UNHCR - The UN Refugee Agency and Bond Street Theatre at the show through the sale of pins featuring text from the play.
Produced by The New Collectives. Visit www.thenewcollectives.com for more information.
*appearing courtesy of Actors’ Equity Association    
•Equity approved showcase   
•Theater is not wheelchair accessible
Please Note: this play includes on stage violence, direct references to sexual violence, and references to the atrocities committed in war.
",https://www.eventbrite.com/e/the-trojan-women-tickets-38370860276?aff=ebapi
The OMNI Ensemble Begins its 2017/2018 35th Anniversary Concert Season,2017-11-11T20:00:00,"The OMNI Ensemble will begin its 35th season of concerts at the Brooklyn Conservatory of Music on Saturday, November 11, 2017. The program will feature Woodwind Quintet music. The music for most of this concert is transcriptions of wonderful pieces in the repertoire of orchestral music and jazz. Works featured will be Ravel's Le Tombeau De Couperin arranged by Mason Jones, Stravinsky's Pulcinella Suite arranged by Ron Krentzman, J.S. Bach's Concerto No. 2 After Vivaldi arranged by Mordechai Rechtman, jazz pieces by Thelonius Monk, John Coltrane and Michael Brecker arranged by David Wechsler, and Paul Hindemith's (composed, but not arranged) Chamber Music for Five Woodwinds. Musicians performing are David Wechsler, flute, Christa Robinson, oboe, Jeff Adler, clarinet; Sara Schoenbeck, bassoon; and Eric Davis, horn.  
Continuing as the chamber music group in residence at the Brooklyn Conservatory, the OMNI Ensemble will continue to perform concerts of enormous variety all designed to provide their audience with a musical diversity not ordinarily encountered by one chamber music group. Throughout the season they perform in the recital hall at the Brooklyn Conservatory of Music. 
This concert is being streamed live over this link: bqcm.org/live click  on 'Upcoming Shows' and pick the one for November 11, OMNI Ensemble. A little button will say ""Watch Live!""
Tickets at the Brooklyn Conservatory of Music are $15.00, $10.00 for students and senior citizens. Tickets for BCM are available in advance or at the door prior to the performance. For direct purchase of tickets on line please visit our web site: www.theomniensemble.org
 The Brooklyn Conservatory is located at 58 Seventh Ave. at the corner of Lincoln Place in Park Slope, Brooklyn. It is in easy access of public transportation, Q or B train to Seventh Ave., or IRT #2 and 3 to Grand Army Plaza. For further information and ticket reservations, call 718 859-8649. 
The OMNI Ensemble is a chamber music created to perform programs of enormous variety, with music ranging from the Renaissance to the 21st century, including Western classical music, jazz, and electronic and improvised music, all designed to provide their audience with a musical experience not ordinarily encountered in a single music event. Since its inception in 1983 the group has featured many guest artists including multi instrumentalist/composer David Amram, performance artist John Kelley, Singer Erika Banks, Kumongo player Jin Hi Kim, Saxophonist Roy Nathanson, Mezzo Sopranos Catherine Ciesinski and Charlotte Hellekant, Harpsichordists Gerald Ranck and Rebecca Pechevsky, and keyboardist Marco Benevento. The group has commissioned works by David Lang, Lee Hyla, Allen Shearson, & Michael Bushnell, and performed  new pieces by Jim Lahti, Eric Klein, David Wechsler. and John Cheek.   
This concert is made possible, in part with funds from the, The New York State Council on the Arts, and Con Edison.",https://www.eventbrite.com/e/the-omni-ensemble-begins-its-20172018-35th-anniversary-concert-season-tickets-38747698409?aff=ebapi
Theatre at Gallatin Presents: The Crucible ,2017-11-11T14:00:00,"Set during the 1692 witch trials in Salem, Massachusetts, Arthur Miller's modern masterpiece The Crucible takes us on a thrilling and terrifying journey into the soul of American identity. The questions at stake in this searing drama-how to maintain honesty in a dishonest political culture, what happens when suppressed desires are laid bare, where do we turn when authority has been rendered meaningless-are as dynamic and relevant now as they were when Miller wrote it in the early 1950s. An ensemble of 12 Gallatin students will bring Miller's text to life in an intimate, stripped-down production co-directed by Kristin Horton and Ben Steinfeld.
Cast: Dominique Booth, Sophia Cannata-Bowman, Cheryle Chong, Myka Cue, Mouli Ghosh, Andrew Goehring, Fiona Gorry-Hines, Gwen Hornig, Ben Natan, Brennan O'Rourke, Kendra Prat, and Sara ""ChaCha"" Tolchinsky",https://www.eventbrite.com/e/theatre-at-gallatin-presents-the-crucible-tickets-38965072581?aff=ebapi
"SuperHD 7: Art, Music, and Vibes",2017-11-11T20:00:00,"Virtual Reality, Live Music, Video Installations, and more. We're taking over Superchief Gallery's massive warehouse space to experience FELT Zine IRL every second Saturday of the month. Check out the information below for this month's show:

Live Performance by Loochey Lovely aka ConRizzle, MH Tha Prez, and Mr. Ivory Snow, (G5 Records) with visuals by Luis Reyes.
Exclusive A/V experience with music by Hanz (Tri-Angle Records) + visuals by Mark Digital
Jeron Braxton + Glanderco's 'Plant Room' 3D Video Premiere

G5 Records Music:https://soundcloud.com/conrizzle | https://soundcloud.com/mrivorysnow
Listen to Hanz's Music here:https://soundcloud.com/madbearhanz",https://www.eventbrite.com/e/superhd-7-art-music-and-vibes-tickets-39377031762?aff=ebapi
40's & 50's Members Cocktail Party (MU),2017-11-11T20:00:00," 
Join us as we present the first of our age specific mixers on a Saturday evening!  This time around we invite all members 50+ to join us for an evening of conversations and cocktails at The World Bar on 1st avenue and east 48th.  There will be hot and cold appetizers, drink specials and fun activities to get you to meet as many at the party as possible.
What to expect:

Doors open at 8pm
Drink special last until 9pm
There will be light hot and cold appetizers served
Age appropriate music played at conversational levels.
2 separate planned activities to get you to mingle with others at the event.

Admission: $15 in advance $20 at the door
Can I come alone?  Yes 98% of those attending will likely register on their own but you are invited to bring as many guests as you would like just register for that amount.
Dress Code: keep it neat.  No jeans or sneakers
How will I find the group?  We have the whole space reserved.
Is this a singles event?  Not really but most of those attending will likely be single.
Ages: 50+ (A couple years younger is fine. Approximate age range will be 45-59)
 
This event is nonrefundable unless the event is canceled or rescheduled.
By registering for this event you take full responsibilities for your actions and agree to conduct yourself accordingly.",https://www.eventbrite.com/e/40s-50s-members-cocktail-party-mu-tickets-38276627423?aff=ebapi
2017-18 Season Opener: Love & Celestial Musings,2017-11-11T20:00:00,"Ensemble 212 embarks on another season jam-packed with diverse and exciting musical offerings. Featured on the Season Opener is the music of our Composer in Residence Jeffrey Mumford, a protégé of Elliot Carter noted for his evocative use of sound imagery, Mozart, and Mahler.Our former core member cellist Michael Katz returns to perform the New York Premiere of Mumford's ""billowing pockets brightly layered"" for Violoncello & Chamber Orchestra. Based on an earlier work written for solo cello, the inspiration is drawn from the changing fabric of fleeting clouds.Lyric soprano Jaeyeon Kim, returns from last season's eloquent performance of the Brahms Requiem to sing three celebrated Mozart arias from Cosi fan tutte, the Magic Flute, Don Giovanni and the finale of Mahler's Fourth Symphony.Artistic Director Yoon Jae Lee leads the talented collective of orchestral musicians in his own chamber arrangement of Mahler's most intimate symphony, as part of his ongoing Mahler Chamber Project to create orchestral reductions of Mahler's works for chamber orchestra. The New York Times critic Steve Smith, described Maestro Lee's chamber version of Mahler’s Fourth Symphony as “Illuminating..... with solos leaping out in unusually bold detail.”Forgoing traditional printed program notes, Ensemble 212 also features unique live program notes projected on a screen during the performance, serving as a visual listening guide for the audience. This spectacular evening-length extravaganza will be one of the can't miss season openers by a New York chamber orchestra this season!PROGRAMWolfgang Amadeus MOZARTTemerari, sortite fuori...Come scoglio from Così fan tutte, K. 588Ach ich fühl's from Die Zauberflöte, K. 620Jaeyeon Kim, SopranoJeffrey MUMFORDbillowing pockets brightly layered for Violoncello & Chamber OrchestraMichael Katz, VioloncelloWolfgang Amadeus MOZARTIn quali eccessi o Numi...Mi tradi quell'alma ingrata from Don Giovanni, K. 527Jaeyeon Kim, Soprano*** INTERMISSION ***Gustav MAHLERSymphony No. 4 in G Majorarranged for chamber orchestra by Yoon Jae LeeJaeyeon Kim, SopranoYoon Jae Lee, ConductorAdvance tickets on BPT until 11/11 3 PM:$20 General, $18 Seniors 65+, $15 Students with IDAfter that time, tickets at the doors which open at 7:30 will be cash only.$25 General, $20 Seniors 65+, $18 Students with ID",https://www.eventbrite.com/e/2017-18-season-opener-love-celestial-musings-tickets-38756889901?aff=ebapi
SAT in BKLYN 8pm Henny n' Paint: A Painting & Cognac Experience,2017-11-11T20:00:00,"Upcoming Saturdays Time and Locations
8:00pm - 10pm

SATURDAY SESSION (8:00pm - 10pm)
SATURDAYS  at @Empire Showcase Studio ( 9611 Glenwood Rd Bklyn, NY 11236)

 _________________________________________________
 
HENNY n' PAINT
A Painting & Open Bar Cognac Experience

 
Enjoy A Fun and Trendy 2Hour Painting Class with a talented and Friendly Instructor (Paint, Easels & Canvas Included)  with an Open Bar of Hennessy Cognac.
Henny n' Paint Admission $50Group Option: Buy 4Paint Packages Get 1 Free
 


Our Sold-out Paint Mixers are always a hit!

  For more Info Call or Text 347 237 6826 | 646 342 7419 or go to www.HennyandPaint.com",https://www.eventbrite.com/e/sat-in-bklyn-8pm-henny-n-paint-a-painting-cognac-experience-tickets-38474245504?aff=ebapi
Practice dating 1-on-1 with Art or Carmen (coffee),2017-11-11T20:00:00,"Looking to meet the right person? Let us make sure you're ready. In this workshop, Art & Carmen will review and simulate with you the process of a date. We'll have coffee privately 1-on-1 for about 30 minutes at our Cove, and then we'll give you some feedback. This workshop is tailored for either guys or gals. The cost of the event covers the private venue, snacks and refreshments.
Art & Carmen are a duo living and working in New York City. Art is a tech entrepreneur and educator, and Carmen works in finance and fashion. Together, we have curated a network of men and women with established careers in finance, engineering, business, fashion, academia, media and real estate. We seek to strengthen our network by providing mentorship and guidance to produce heatlhy and meaningful relationships.
More about Art & Carmen:
https://art.wangperawong.com
https://carmencristodaro.com
Terms & Conditions to be a Participant
By submitting your information, you agree to the terms and conditions that follow. Art & Carmen (hereon referred to as ""Organizers"") do not guarantee any results for Participants in our activities or for interacting with Organizers. As a Participant, you agree and understand that we, our staff, the venues, other participants and our network are not responsible for any damages, actions, claims, costs or other expenses including, but not limited to personal injury, wrongful death or property damage suffered by any participant during the course of the event or for any claims, actions, damages or expenses arising out of any transaction or occurrence that takes place in a private room or between private parties. Participant acknowledges and accepts responsibility for Participant's own acts and will hold Organizers blameless should Participant's conducts lead to the physical injury, death or property damage of others. Furthermore, Participant will hold Organizers and its employees and associates blameless for any personal injury, death or property damage that Participant might experience. Participant agrees to hold Organizers, its employees and associates entirely free from any liability, including financial responsibility for such injuries, death or damages incurred, regardless of whether such are caused by negligence. Participant agrees to forfeit all right to bring suit against Organizers, its employees and associates. Organizers reserve the right to refuse service, deny access or entry to Participant at anytime and for any reason.
",https://www.eventbrite.com/e/practice-dating-1-on-1-with-art-or-carmen-coffee-tickets-38166158006?aff=ebapi
One Man's Macbeth starring Brittin Ward,2017-11-11T20:00:00,"The King's Players, in association with Brittin Ward, presents One Man's Macbeth! This one man show will energetically bring 23 characters to life onstage in this five-act solo-performance of Shakespeare's Tragedy. This will be Brittin's senior thesis performance at The King's College. In addition to the King's Players, this production is also a collaboration with Angela Ward (Director) and Cameron Strittmatter, the King's College Media Coordinator (Assistant Director/Producer). Show times:November 10th - 8:00November 11th - 8:00Doors open at 7:30.

All proceeds will go to The King's Players student theater organization.",https://www.eventbrite.com/e/one-mans-macbeth-starring-brittin-ward-tickets-39128655863?aff=ebapi
New York Comedy Festival ,2017-11-11T20:00:00,Andy Fiori (Host of The Raw Report on SiriusXM)Edward Farrell (Old Man Hustle)Tyler Richardson (Tru Tv)David Spector (Tremendous)Hosted by Katharyn Henson (Hilarious)Special Guest,https://www.eventbrite.com/e/new-york-comedy-festival-tickets-39417826781?aff=ebapi
MSTDA presents [title of show],2017-11-11T20:00:00,"""Who says four chairs and a keyboard can't make a musical?"" 
Follow the adventures of Jeff and Hunter (and their friends Heidi, Susan, and Mary) as they write a new musical that's about writing a musical. Friendships are made and tested, jealousies and self-doubts prowl, and creative obstacles overcome. This show speaks to the artist in us all. Come join these friends for an evening of laughs, tears, inspiration, and the search to be nine people's favorite thing. This production of [title of show] stars MSTDA staff Kaitlyn Abdul as Heidi and Aya Esther Hayashi as Susan. They are joined by Ryan Hiers as Hunter and Bruce Jimenez as Jeff. Bryan Stephenson makes his NYC directorial debut. Sarah Glassman music directs and plays Mary. 
[title of show] features music and lyrics by Jeff Bowen, book by Hunter Bell.

N.B.: Show is rated PG-13 for adult humor and language. ",https://www.eventbrite.com/e/mstda-presents-title-of-show-tickets-39193982256?aff=ebapi
Jane Monheit & Tony DeSare - PAC the House Series,2017-11-11T20:00:00,"









As the kick-off performance in HACPAC’s inaugural PAC the House series, this duo lights up the stage for a magical evening of music. Inspired by great cabaret singers of the past, the sultry vocalist Monheit joins pianist, singer, and songwriter DeSare for an evening of American standards and new favorites, plus some surprise revisions of classics. Expect some Sinatra from Ol’ Blue Eyes interpreter DeSare.
Jane Monheit, a Grammy-nominated jazz and pop vocalist, has collaborated with John Pizzarelli, Michael Bublé, Ivan Lins, Terence Blanchard, and Tom Harrell. She has recorded many songs from the Great American Songbook and considers Ella Fitzgerald her inspiration. Much of the year she tours with her band, but also performs with major symphony orchestras throughout the country.
Tony DeSare is a jazz singer, pianist, and songwriter who was named a “Rising Star” Male Vocalist in the Downbeat Critics Poll. Along with Harry Connick Jr. and Michael Bublé, he is a “neo-traditional” stylist, covering old and new pop and jazz standards, with special emphasis on Frank Sinatra.






PAC the House: Mission Statement
The mission of the PAC the House series is to present Bergen County audiences with an array of distinctive acts that may not appear on other area stages. The City of Hackensack and the Main Street Business Alliance, which co-sponsor the PAC the House series, carefully vet the performers to ensure a variety of cultural backgrounds and disciplines and to cultivate a hip ambiance for the redeveloping downtown. In the intimate Hackensack Performing Arts Center, the PAC the House series presents well-known performers as well as up-and-coming artists who promise to become new favorites.









",https://www.eventbrite.com/e/jane-monheit-tony-desare-pac-the-house-series-tickets-37287145857?aff=ebapi
"Hunk-O-Mania Male Revue Show - Hempstead, Long Island, NY",2017-11-11T20:00:00,"Our male revue is the place to go for ladies seeking the perfect setting to celebrate their special events! Our Las Vegas Style ""audience participation"" male revue show features the very best male strippers and exotic dancers, in an intimate personal setting, designed to involve our audience directly and make for a memorable evening.
Our chiseled male dancers are trained to entertain the toughest of male audiences with mind-blowing choreography and a first class erotic performance. Next time you are planning a girls night out, bachelorette or birthday party in New York City you'll know exactly where to go. 
Get ready to blush, scream and have a great time with the sexy HunkOMania strippers. Plus, our hilarious hosts encourage audience participation. 
Guests must be at least 21 years old at this location.",https://www.eventbrite.com/e/hunk-o-mania-male-revue-show-hempstead-long-island-ny-tickets-38915837317?aff=ebapi
HATCH Presenting Series,2017-11-11T20:00:00,"Presenting Choreographers:
Claire Baum
Gio Kusanagi
Dionna Pridgeon
Camille Schmoeker
Shannon Yu
Lindsey L. Miller


Tickets also available at the door:
General Admission: $20
Students (with ID): $15


HATCH Presenting Series was created in the Spring of 1997 in response to the need in the dance field for a cost-free space that enables emerging choreographers to investigate new work, present works-in-progress and engage in dialogue with the audience, free from financial pressure and the scrutiny of critical response.
This program presents Saturday evening performances each year sectioned into Fall and Spring series. The emerging choreographers who participate in the HATCH Series vary in age, perspective and technique. The Works believes that each of their voices deserves a platform for mentorship and performance. The dances offered range from solo to group pieces, some accompanied by live music or actors. The series has presented over 1,000 choreographic works.",https://www.eventbrite.com/e/hatch-presenting-series-tickets-39485483143?aff=ebapi
GREENWICH VILLAGE COMEDY CLUB - ALL STAR COMEDY DOWNTOWN NYC Discount tickets,2017-11-11T20:00:00,"$20-25 at the door $5 discount tickets here via EventBrite
Purchase discount ticket/admission, arrive at least 30-45 minute before showtime. Sho0ws will sell out and late guests are not guarenteed a seat. There is a TWO drink minimum per guest
Greenwich Village Comedy Club presents a lineup full of our Top Headliners. These are the best comedians from New York City with special guests from all across the country. You've seen them on MTV, HBO, The Tonight Show, Comedy Central, The Daily Show, Last Comic Standing and more! 
THIS WEEK
TUESDAY OCTOBER 24TH and WEDNESDAY OCTOBER 25TH, 20179:45PM Costaki Econopolous Headlines  

Costaki tours clubs and Colleges throughout the country...You can also see him on his own Showtime half hour comedy special and a reglar on Sirius XM. with...
THURSDAY OCTOBER 26TH, 2017 - 9:45PM Mike Cannon Comedy Central 


Mike Cannon is a New York City based comedian and a delightful human being. He thinks being a good human being is more important, but for the purposes of this advertisement will keep his thoughts focused to comedy. Mike was a finalist in the 2016 (and 2014) New York Comedy Festival’s “NY’s Funniest” contest and made his stand up television debut in March 2017 on AXS Gotham Comedy Live. He has recently appeared as a regular guest on Fox’s Red Eye, as a panelist on Comedy Central’s The Nightly Show with Larry Wilmore, TruTV’s Top Funniest, MTV’s Failosophy, MTV’s Money From Strangers, MSG’s The Bracket and has been a contributing writer/performer for MTV2’s Guy Code. He currently is a regular guest on several Sirius/XM Radio shows including Opie Radio, The Jim Norton and Sam Roberts Show, Bennington, The Compound Media Network, tons of popular podcasts as well as hosting two of his own – Mike and Tim Visit Earth and Irish Goodbye Podcast. Previously Mike hosted a popular weekly web-series called “The Weed News with Mike Cannon” and his conspiracy theory podcast “Deep Inside the Rabbit Hole.” He was also a co-host of Cosmopolitan Magazine’s web-series Sexy vs Skanky and a featured performer on VH1’s “Why Am I Still Single?” Mike regularly tours the country, but when he is home in New York City he plays all the major clubs and is always working on his act. It makes no difference to him whether he’s performing in a bar, an elevator (done that twice), trying jokes out on his friends, or bothering strangers on the subway for loose change or a sandwich. Comedy is his life, and he is dedicated to making the majority of you laugh and the rest of you confused, yet oddly satiated. He also isn’t sure if he used the word satiated correctly.
FRIDAY OCTOBER 27TH, 2017 - 9:45PM, 11:45SATURDAY OCTOBER 28th, 2017 - 8:30, 10:30 12:30aHEADLINER: Mike Brit


Mike Britt is a Brooklyn, NY born stand-up comedian. He got his start at the Uptown Comedy Club in Harlem. Since then, He has appeared on Comedy Central Presents, BET's Comicview, VH1's Best Week Ever, and The Bad Boys of Comedy. In 2015, he's now known as the ""singer"" of the Unbreakable Kimmy Schmidt theme song.




ALSO APPEARING THIS WEEK
Kevin Israel Anthony Cumia Network Meghan Hanley AXS Andy Fiori Host Sirius XM Eric Neumann AXSAnthony Kapfer FOX LaughsLucas Connolly Comedy CentralMike Keegan Borgata Atlantic City Talia Reese Wendy Williams Show Lawrence DeLoach Roast Battle Irene Bremis Sirius XMChris Murphy Comedy Central Yannis Pappas Comedy Central, Mr, Panos and Maurica Ayanna Dookie BET, MTV Dustin Chafin Showtime, HBO



Al Martin’s name is synonymous with comedy in New York City, and is responsible for launching the careers of many top comedians working today. Martin’s first venture in the comedy club business was in 1988 when he established the New York Comedy Club out of a need to help and showcase talented comedians. An accomplished comedian himself, Al was a National Headliner with numerous television credits such as The Joan Rivers Show, Geraldo and Evening At The Improv. Al was always more than just a comedian; he was an activist for the comedy community serving as Vice President of the Professional Comedians Association, and was instrumental in the organization dedicated to bringing health insurance and improving working conditions for comics. Although performing was a love for Martin he found his niche as a comedy club owner. He soon found himself helping his fellow comedians that he had once worked beside. Sarah Silverman, Lisa Lampanelli, Brett Butler, Tracy Morgan and Wanda Sykes are just a few comedians who have graced his stages over the years. New York Comedy Club became the first comedy club with two showrooms in 1997. Al was one of the first club owners to embrace diversity in the comedy world by establishing the first Latino Comedy Night at New York Comedy Club. He’s also facilitated and welcomed to his stage shows featuring gay, urban and Asian communities. In 2000 Martin opened New York Comedy Club in Boca Raton, which he ran successfully until late 2006. With the success of two clubs Al decided to expand his brand and in 2003 opened Broadway Comedy Club, located in the heart of Times Square. Martin again took a risk in opening Broadway Comedy, the only bi- level entertainment complex with three showrooms in NYC, serving over 600 comedy lovers from around the world nightly. In 2005 he partnered with Barry Katz, executive producer of NBC’s Last Comic Standing to run Boston Comedy Club, giving Martin the bragging rights to being the first person to run three comedy clubs in New York City. In the Summer of 2012 Martin expanded his comedy ventures into Greenwich Village, in New York City with the opening of Greenwich Village Comedy Club, from day one the club has been filled every night with a lively downtown crowd and top comedians making them laugh! Martin’s clubs attract comedy fans from around the world including some of the biggest celebrities from Jay-Z & Beyonce, Andre Aggasi, Jimmy Fallon, Montel Williams, and Harry Connick Jr. On stage or behind the scenes, Al Martin will go down in history as the King of New York Comedy. Martin is a brilliant thinker and innovator of his time, and has made New York City the World’s Capital of Comedy.",https://www.eventbrite.com/e/greenwich-village-comedy-club-all-star-comedy-downtown-nyc-discount-tickets-tickets-38143800133?aff=ebapi
FUN HOME,2017-11-11T14:00:00,"New York University Tisch School of the Arts
Allyson Green, Dean
and
Institute of Performing Arts Department of Drama
Sarah Schlesinger, Associate Dean
Rubén Polendo, Chair, UG Drama
present
The New Studio on Broadway's 
 
FUN HOME
 
 Music by Jeanine Tesori
Book and Lyrics by Lisa Kron
Based on the Graphic Novel by Alison Bechdel
Directed by
Kenneth Noel Mitchell
 
Ticket Info: There is no late seating.
Tickets not picked up (or checked in) 10 minutes before the scheduled curtain time
will be released to the waiting list at the door.
 ",https://www.eventbrite.com/e/fun-home-tickets-38416912018?aff=ebapi
Forbidden NYU 2017 (Saturday Show),2017-11-11T20:00:00,"The College of Arts and Science Theater is proud to present NYU's beloved parody show!  Our little cherub of a show has officially crossed the threshhold into adulthood, and this year, we're exploring what sort of shenanigans this Barely Legal babe can get into. Forbidden NYU sports hilarious Broadway show tune parodies and extraordinary talent (imagine that!), all the while lovingly poking fun at New York City's favorite university... between 4th and 8th streets.
This year, Forbidden NYU will be performing some of the classics you adore (One Gay More, Seasons of Loans) and a swanky new song or two, all in this laughter provoking production. This show is a MUST-SEE for anyone who has ever even heard of NYU or New York or who just knows what a University is. Forbidden NYU is proven to be more satisfying than sitting down for a Tinder date with Joan Torch on a Friday night. tl;dr: We sing funny songs about NYU. Come see our show please! ____________________________________
***NOTE: Each performance has its own Eventbrite ticket page. Makes sure you're looking at the day you actually want to go!
>>Friday, November 10th @ 8:00 PM  19 West 4th Street - Room 101
TICKET LINK: https://www.eventbrite.com/e/forbidden-nyu-2017-friday-show-tickets-39261775026  >>Saturday, November 11th @ 8:00 PM Kimmel E&L Auditorium, 4th Floor, (60 Washington Square South)
TICKET LINK: https://www.eventbrite.com/e/forbidden-nyu-2017-saturday-show-tickets-39262863281
>>Sunday, November 12th @ 2:00 PM 19 West 4th Street - Room 101
TICKET LINK: https://www.eventbrite.com/e/forbidden-nyu-2017-sunday-show-tickets-39263044824
Tickets will cost:$10 for General Admission | $7 for NYU (use code NYU)
To enter the event spaces for performances, you will need either NYU ID or government-issue ID. When you arrive at the theater, you can check-in to pick up your tickets. ____________________________________If you have any questions, please contact us at CAST.CLUB@NYU.EDU",https://www.eventbrite.com/e/forbidden-nyu-2017-saturday-show-tickets-39262863281?aff=ebapi
